Email                     Algorithm Classification  Given Classification
./data/spam/863.words               Spam                      Spam           
./data/spam/682.words               Spam                      Spam           
./data/spam/97.words                Spam                      Spam           
./data/spam/70.words                Spam                      Spam           
./data/spam/994.words               Spam                      Spam           
./data/spam/747.words               Spam                      Spam           
./data/spam/505.words               Spam                      Spam           
./data/spam/5.words                 Spam                      Spam           
./data/spam/283.words               Spam                      Spam           
./data/spam/861.words               Spam                      Spam           
./data/spam/191.words               Spam                      Spam           
./data/spam/363.words               Spam                      Spam           
./data/spam/300.words               Spam                      Spam           
./data/spam/269.words               Spam                      Spam           
./data/spam/18.words                Spam                      Spam           
./data/spam/65.words                Spam                      Spam           
./data/spam/536.words               Spam                      Spam           
./data/spam/464.words               Spam                      Spam           
./data/spam/413.words               Spam                      Spam           
./data/spam/328.words               Spam                      Spam           
./data/spam/495.words               Spam                      Spam           
./data/spam/294.words               Spam                      Spam           
./data/spam/322.words               Spam                      Spam           
./data/spam/402.words               Spam                      Spam           
./data/spam/808.words               Spam                      Spam           
./data/spam/849.words               Spam                      Spam           
./data/spam/724.words               Spam                      Spam           
./data/spam/942.words               Spam                      Spam           
./data/spam/204.words               Spam                      Spam           
./data/spam/822.words               Spam                      Spam           
./data/spam/993.words               Spam                      Spam           
./data/spam/882.words               Spam                      Spam           
./data/spam/14.words                Spam                      Spam           
./data/spam/306.words               Spam                      Spam           
./data/spam/252.words               Spam                      Spam           
./data/spam/434.words               Spam                      Spam           
./data/spam/164.words               Spam                      Spam           
./data/spam/37.words                Spam                      Spam           
./data/spam/445.words               Ham                       Spam           
./data/spam/866.words               Spam                      Spam           
./data/spam/266.words               Spam                      Spam           
./data/spam/661.words               Spam                      Spam           
./data/spam/29.words                Spam                      Spam           
./data/spam/143.words               Spam                      Spam           
./data/spam/48.words                Spam                      Spam           
./data/spam/833.words               Spam                      Spam           
./data/spam/394.words               Spam                      Spam           
./data/spam/233.words               Spam                      Spam           
./data/spam/634.words               Spam                      Spam           
./data/spam/246.words               Spam                      Spam           
./data/spam/149.words               Spam                      Spam           
./data/spam/726.words               Spam                      Spam           
./data/spam/138.words               Spam                      Spam           
./data/spam/398.words               Spam                      Spam           
./data/spam/348.words               Ham                       Spam           
./data/spam/11.words                Spam                      Spam           
./data/spam/607.words               Spam                      Spam           
./data/spam/142.words               Spam                      Spam           
./data/spam/613.words               Spam                      Spam           
./data/spam/888.words               Spam                      Spam           
./data/spam/552.words               Spam                      Spam           
./data/spam/677.words               Spam                      Spam           
./data/spam/533.words               Spam                      Spam           
./data/spam/202.words               Spam                      Spam           
./data/spam/194.words               Spam                      Spam           
./data/spam/400.words               Spam                      Spam           
./data/spam/307.words               Spam                      Spam           
./data/spam/302.words               Spam                      Spam           
./data/spam/64.words                Spam                      Spam           
./data/spam/243.words               Spam                      Spam           
./data/spam/585.words               Spam                      Spam           
./data/spam/877.words               Spam                      Spam           
./data/spam/887.words               Spam                      Spam           
./data/spam/475.words               Spam                      Spam           
./data/spam/550.words               Spam                      Spam           
./data/spam/57.words                Spam                      Spam           
./data/spam/620.words               Spam                      Spam           
./data/spam/370.words               Spam                      Spam           
./data/spam/324.words               Spam                      Spam           
./data/spam/137.words               Spam                      Spam           
./data/spam/564.words               Spam                      Spam           
./data/spam/820.words               Spam                      Spam           
./data/spam/807.words               Spam                      Spam           
./data/spam/442.words               Spam                      Spam           
./data/spam/800.words               Spam                      Spam           
./data/spam/88.words                Spam                      Spam           
./data/spam/484.words               Spam                      Spam           
./data/spam/71.words                Spam                      Spam           
./data/spam/553.words               Spam                      Spam           
./data/spam/221.words               Spam                      Spam           
./data/spam/617.words               Spam                      Spam           
./data/spam/785.words               Spam                      Spam           
./data/spam/855.words               Spam                      Spam           
./data/spam/838.words               Spam                      Spam           
./data/spam/229.words               Spam                      Spam           
